service_id,date,exception_type
1,20220917,1
1,20220924,1
1,20221001,1
1,20221008,1
1,20221015,1
1,20221022,1
1,20221029,1
1,20221105,1
1,20221112,1
1,20221119,1
1,20221126,1
1,20221203,1
1,20221210,1
1,20221217,1
1,20221224,1
1,20221231,1
1,20230107,1
1,20230114,1
1,20230121,1
1,20230128,1
1,20230204,1
1,20230211,1
1,20230218,1
1,20230225,1
1,20230304,1
1,20230311,1
2,20220918,1
2,20220925,1
2,20221002,1
2,20221009,1
2,20221016,1
2,20221023,1
2,20221030,1
2,20221106,1
2,20221113,1
2,20221120,1
2,20221127,1
2,20221204,1
2,20221211,1
2,20221218,1
2,20221225,1
2,20230101,1
2,20230108,1
2,20230115,1
2,20230122,1
2,20230129,1
2,20230205,1
2,20230212,1
2,20230219,1
2,20230226,1
2,20230305,1
2,20230312,1
3,20220914,1
3,20220915,1
3,20220916,1
3,20220919,1
3,20220920,1
3,20220921,1
3,20220922,1
3,20220923,1
3,20220926,1
3,20220927,1
3,20220928,1
3,20220929,1
3,20220930,1
3,20221003,1
3,20221004,1
3,20221005,1
3,20221006,1
3,20221007,1
3,20221010,1
3,20221011,1
3,20221012,1
3,20221013,1
3,20221014,1
3,20221017,1
3,20221018,1
3,20221019,1
3,20221020,1
3,20221021,1
3,20221024,1
3,20221025,1
3,20221026,1
3,20221027,1
3,20221028,1
3,20221031,1
3,20221101,1
3,20221102,1
3,20221103,1
3,20221104,1
3,20221107,1
3,20221108,1
3,20221109,1
3,20221110,1
3,20221111,1
3,20221114,1
3,20221115,1
3,20221116,1
3,20221117,1
3,20221118,1
3,20221121,1
3,20221122,1
3,20221123,1
3,20221124,1
3,20221125,1
3,20221128,1
3,20221129,1
3,20221130,1
3,20221201,1
3,20221202,1
3,20221205,1
3,20221206,1
3,20221207,1
3,20221208,1
3,20221209,1
3,20221212,1
3,20221213,1
3,20221214,1
3,20221215,1
3,20221216,1
3,20221219,1
3,20221220,1
3,20221221,1
3,20221222,1
3,20221223,1
3,20221226,1
3,20221227,1
3,20221228,1
3,20221229,1
3,20221230,1
3,20230102,1
3,20230103,1
3,20230104,1
3,20230105,1
3,20230106,1
3,20230109,1
3,20230110,1
3,20230111,1
3,20230112,1
3,20230113,1
3,20230116,1
3,20230117,1
3,20230118,1
3,20230119,1
3,20230120,1
3,20230123,1
3,20230124,1
3,20230125,1
3,20230126,1
3,20230127,1
3,20230130,1
3,20230131,1
3,20230201,1
3,20230202,1
3,20230203,1
3,20230206,1
3,20230207,1
3,20230208,1
3,20230209,1
3,20230210,1
3,20230213,1
3,20230214,1
3,20230215,1
3,20230216,1
3,20230217,1
3,20230220,1
3,20230221,1
3,20230222,1
3,20230223,1
3,20230224,1
3,20230227,1
3,20230228,1
3,20230301,1
3,20230302,1
3,20230303,1
3,20230306,1
3,20230307,1
3,20230308,1
3,20230309,1
3,20230310,1
4,20220916,1
4,20220923,1
4,20220930,1
4,20221007,1
4,20221014,1
4,20221021,1
4,20221028,1
4,20221104,1
4,20221111,1
4,20221118,1
4,20221125,1
4,20221202,1
4,20221209,1
4,20221216,1
4,20221223,1
4,20221230,1
4,20230106,1
4,20230113,1
4,20230120,1
4,20230127,1
4,20230203,1
4,20230210,1
4,20230217,1
4,20230224,1
4,20230303,1
4,20230310,1
5,20220914,1
5,20220915,1
5,20220919,1
5,20220920,1
5,20220921,1
5,20220922,1
5,20220926,1
5,20220927,1
5,20220928,1
5,20220929,1
5,20221003,1
5,20221004,1
5,20221005,1
5,20221006,1
5,20221010,1
5,20221011,1
5,20221012,1
5,20221013,1
5,20221017,1
5,20221018,1
5,20221019,1
5,20221020,1
5,20221024,1
5,20221025,1
5,20221026,1
5,20221027,1
5,20221031,1
5,20221101,1
5,20221102,1
5,20221103,1
5,20221107,1
5,20221108,1
5,20221109,1
5,20221110,1
5,20221114,1
5,20221115,1
5,20221116,1
5,20221117,1
5,20221121,1
5,20221122,1
5,20221123,1
5,20221124,1
5,20221128,1
5,20221129,1
5,20221130,1
5,20221201,1
5,20221205,1
5,20221206,1
5,20221207,1
5,20221208,1
5,20221212,1
5,20221213,1
5,20221214,1
5,20221215,1
5,20221219,1
5,20221220,1
5,20221221,1
5,20221222,1
5,20221226,1
5,20221227,1
5,20221228,1
5,20221229,1
5,20230102,1
5,20230103,1
5,20230104,1
5,20230105,1
5,20230109,1
5,20230110,1
5,20230111,1
5,20230112,1
5,20230116,1
5,20230117,1
5,20230118,1
5,20230119,1
5,20230123,1
5,20230124,1
5,20230125,1
5,20230126,1
5,20230130,1
5,20230131,1
5,20230201,1
5,20230202,1
5,20230206,1
5,20230207,1
5,20230208,1
5,20230209,1
5,20230213,1
5,20230214,1
5,20230215,1
5,20230216,1
5,20230220,1
5,20230221,1
5,20230222,1
5,20230223,1
5,20230227,1
5,20230228,1
5,20230301,1
5,20230302,1
5,20230306,1
5,20230307,1
5,20230308,1
5,20230309,1
6,20220918,1
6,20220925,1
6,20221002,1
6,20221016,1
6,20221023,1
6,20221030,1
7,20220917,1
7,20220924,1
7,20221001,1
7,20221008,1
7,20221009,1
7,20221015,1
7,20221022,1
7,20221029,1
8,20230107,1
8,20230114,1
8,20230121,1
8,20230128,1
8,20230204,1
8,20230211,1
8,20230218,1
8,20230225,1
8,20230304,1
8,20230311,1
9,20230101,1
9,20230108,1
9,20230115,1
9,20230122,1
9,20230129,1
9,20230205,1
9,20230212,1
9,20230219,1
9,20230226,1
9,20230305,1
9,20230312,1
10,20221010,1
11,20220914,1
11,20220915,1
11,20220916,1
11,20220923,1
11,20220930,1
11,20221007,1
11,20230102,1
11,20230103,1
11,20230104,1
11,20230105,1
11,20230106,1
11,20230109,1
11,20230110,1
11,20230111,1
11,20230112,1
11,20230113,1
11,20230116,1
11,20230117,1
11,20230118,1
11,20230119,1
11,20230120,1
11,20230123,1
11,20230124,1
11,20230125,1
11,20230126,1
11,20230127,1
11,20230130,1
11,20230131,1
11,20230201,1
11,20230202,1
11,20230203,1
11,20230206,1
11,20230207,1
11,20230208,1
11,20230209,1
11,20230210,1
11,20230213,1
11,20230214,1
11,20230215,1
11,20230216,1
11,20230217,1
11,20230220,1
11,20230221,1
11,20230222,1
11,20230223,1
11,20230224,1
11,20230227,1
11,20230228,1
11,20230301,1
11,20230302,1
11,20230303,1
11,20230306,1
11,20230307,1
11,20230308,1
11,20230309,1
11,20230310,1
12,20220916,1
12,20220923,1
12,20220930,1
12,20221007,1
12,20230106,1
12,20230113,1
12,20230120,1
12,20230127,1
12,20230203,1
12,20230210,1
12,20230217,1
12,20230224,1
12,20230303,1
12,20230310,1
13,20221014,1
13,20221021,1
13,20221028,1
14,20221002,1
14,20221009,1
14,20221016,1
14,20221023,1
14,20221030,1
14,20221106,1
14,20221113,1
14,20221120,1
14,20221127,1
14,20221204,1
14,20221211,1
14,20221218,1
14,20221225,1
14,20230101,1
14,20230108,1
14,20230115,1
14,20230122,1
14,20230129,1
14,20230205,1
14,20230212,1
14,20230219,1
14,20230226,1
14,20230305,1
14,20230312,1
15,20220914,1
15,20220915,1
15,20220916,1
15,20220923,1
15,20220926,1
15,20220927,1
15,20220928,1
15,20220929,1
15,20220930,1
15,20221003,1
15,20221004,1
15,20221005,1
15,20221006,1
15,20221007,1
15,20221010,1
15,20221011,1
15,20221012,1
15,20221013,1
15,20221014,1
15,20221017,1
15,20221018,1
15,20221019,1
15,20221020,1
15,20221021,1
15,20221024,1
15,20221025,1
15,20221026,1
15,20221027,1
15,20221028,1
15,20221031,1
15,20221101,1
15,20221102,1
15,20221103,1
15,20221104,1
15,20221107,1
15,20221108,1
15,20221109,1
15,20221110,1
15,20221111,1
15,20221114,1
15,20221115,1
15,20221116,1
15,20221117,1
15,20221118,1
15,20221121,1
15,20221122,1
15,20221123,1
15,20221124,1
15,20221125,1
15,20221128,1
15,20221129,1
15,20221130,1
15,20221201,1
15,20221202,1
15,20221205,1
15,20221206,1
15,20221207,1
15,20221208,1
15,20221209,1
15,20221212,1
15,20221213,1
15,20221214,1
15,20221215,1
15,20221216,1
15,20221219,1
15,20221220,1
15,20221221,1
15,20221222,1
15,20221223,1
15,20221226,1
15,20221227,1
15,20221228,1
15,20221229,1
15,20221230,1
15,20230102,1
15,20230103,1
15,20230104,1
15,20230105,1
15,20230106,1
15,20230109,1
15,20230110,1
15,20230111,1
15,20230112,1
15,20230113,1
15,20230116,1
15,20230117,1
15,20230118,1
15,20230119,1
15,20230120,1
15,20230123,1
15,20230124,1
15,20230125,1
15,20230126,1
15,20230127,1
15,20230130,1
15,20230131,1
15,20230201,1
15,20230202,1
15,20230203,1
15,20230206,1
15,20230207,1
15,20230208,1
15,20230209,1
15,20230210,1
15,20230213,1
15,20230214,1
15,20230215,1
15,20230216,1
15,20230217,1
15,20230220,1
15,20230221,1
15,20230222,1
15,20230223,1
15,20230224,1
15,20230227,1
15,20230228,1
15,20230301,1
15,20230302,1
15,20230303,1
15,20230306,1
15,20230307,1
15,20230308,1
15,20230309,1
15,20230310,1
16,20220918,1
16,20220925,1
16,20221002,1
16,20221003,1
16,20221009,1
16,20221016,1
16,20221023,1
16,20221030,1
16,20221106,1
16,20221113,1
16,20221120,1
16,20221127,1
16,20221204,1
16,20221211,1
16,20221218,1
16,20221225,1
16,20230101,1
16,20230108,1
16,20230115,1
16,20230122,1
16,20230129,1
16,20230205,1
16,20230212,1
16,20230219,1
16,20230226,1
16,20230305,1
16,20230312,1
17,20220914,1
17,20220915,1
17,20220916,1
17,20220919,1
17,20220920,1
17,20220921,1
17,20220922,1
17,20220923,1
17,20220926,1
17,20220927,1
17,20220928,1
17,20220929,1
17,20220930,1
17,20221004,1
17,20221005,1
17,20221006,1
17,20221007,1
17,20221010,1
17,20221011,1
17,20221012,1
17,20221013,1
17,20221014,1
17,20221017,1
17,20221018,1
17,20221019,1
17,20221020,1
17,20221021,1
17,20221024,1
17,20221025,1
17,20221026,1
17,20221027,1
17,20221028,1
17,20221031,1
17,20221101,1
17,20221102,1
17,20221103,1
17,20221104,1
17,20221107,1
17,20221108,1
17,20221109,1
17,20221110,1
17,20221111,1
17,20221114,1
17,20221115,1
17,20221116,1
17,20221117,1
17,20221118,1
17,20221121,1
17,20221122,1
17,20221123,1
17,20221124,1
17,20221125,1
17,20221128,1
17,20221129,1
17,20221130,1
17,20221201,1
17,20221202,1
17,20221205,1
17,20221206,1
17,20221207,1
17,20221208,1
17,20221209,1
17,20221212,1
17,20221213,1
17,20221214,1
17,20221215,1
17,20221216,1
17,20221219,1
17,20221220,1
17,20221221,1
17,20221222,1
17,20221223,1
17,20221226,1
17,20221227,1
17,20221228,1
17,20221229,1
17,20221230,1
17,20230102,1
17,20230103,1
17,20230104,1
17,20230105,1
17,20230106,1
17,20230109,1
17,20230110,1
17,20230111,1
17,20230112,1
17,20230113,1
17,20230116,1
17,20230117,1
17,20230118,1
17,20230119,1
17,20230120,1
17,20230123,1
17,20230124,1
17,20230125,1
17,20230126,1
17,20230127,1
17,20230130,1
17,20230131,1
17,20230201,1
17,20230202,1
17,20230203,1
17,20230206,1
17,20230207,1
17,20230208,1
17,20230209,1
17,20230210,1
17,20230213,1
17,20230214,1
17,20230215,1
17,20230216,1
17,20230217,1
17,20230220,1
17,20230221,1
17,20230222,1
17,20230223,1
17,20230224,1
17,20230227,1
17,20230228,1
17,20230301,1
17,20230302,1
17,20230303,1
17,20230306,1
17,20230307,1
17,20230308,1
17,20230309,1
17,20230310,1
